description,category_id,category_name,skill_name,level
"Muốn thực hành thêm Khai phá dữ liệu (Data Mining) vì đang ở trình độ trung bình, hay bị vướng.",2,AI & Data Science,Khai phá dữ liệu (Data Mining),Trung bình
"Đang loay hoay không biết bắt đầu Gọi vốn khởi nghiệp (Pitching) từ đâu, mong được hỗ trợ.",6,Marketing & Kinh doanh,Gọi vốn khởi nghiệp (Pitching),Cơ bản
"Mình đã có nền tảng chạy bộ (Running) khá tốt, muốn học chuyên sâu hơn.",11,Thể thao,chạy bộ (Running),Nâng cao
Cần tư vấn chuyên sâu về Thiết kế Design System cho một dự án cụ thể đang làm.,5,UI/UX,Thiết kế Design System,Nâng cao
"Tìm người có kinh nghiệm về Khai phá dữ liệu (Data Mining) để trao đổi, học hỏi.",2,AI & Data Science,Khai phá dữ liệu (Data Mining),Không xác định
"Đang tìm mentor Piano đệm hát, thời gian học có thể thương lượng.",7,Âm nhạc,Piano đệm hát,Không xác định
Tìm người có thể thử thách và nâng trình Chăm sóc khách hàng của mình lên tầm cao mới.,6,Marketing & Kinh doanh,Chăm sóc khách hàng,Nâng cao
"Mình là học sinh mới, muốn được chỉ LLM & Chatbot AI từ những khái niệm đầu tiên.",2,AI & Data Science,LLM & Chatbot AI,Cơ bản
"Đang loay hoay không biết bắt đầu pha chế đồ uống (Bartender) từ đâu, mong được hỗ trợ.",10,Nấu ăn,pha chế đồ uống (Bartender),Cơ bản
Tìm người luyện tập cùng để cải thiện Piano ở mức khá.,5,UI/UX,Piano,Trung bình
Tìm người có thể thử thách và nâng trình Thiết kế Poster sự kiện của mình lên tầm cao mới.,4,Thiết kế đồ họa,Thiết kế Poster sự kiện,Nâng cao
"Có ai rảnh dạy NodeJS không, mình cần gấp trong tuần này.",1,Lập trình phần mềm,NodeJS,Không xác định
Cần tìm người hỗ trợ về SEO Website.,6,Marketing & Kinh doanh,SEO Website,Không xác định
Cần một buổi học Tiếng Việt cho người nước ngoài dành cho người mới bắt đầu.,3,Ngoại ngữ,Tiếng Việt cho người nước ngoài,Cơ bản
Cần chuyên gia DJ cơ bản hướng dẫn làm dự án thực tế.,7,Âm nhạc,DJ cơ bản,Nâng cao
Bạn nào rành trượt ván (Skateboarding) chỉ giúp mình vài buổi nhập môn với.,11,Thể thao,trượt ván (Skateboarding),Cơ bản
Đang cần người có kinh nghiệm lâu năm về Recommendation System để review công việc thực tế.,2,AI & Data Science,Recommendation System,Nâng cao
Muốn nâng cao kỹ năng Google Ads lên mức chuyên nghiệp.,6,Marketing & Kinh doanh,Google Ads,Nâng cao
"Mình là học sinh mới, muốn được chỉ AWS từ những khái niệm đầu tiên.",1,Lập trình phần mềm,AWS,Cơ bản
"Mình mới tìm hiểu Xây dựng thương hiệu cá nhân (Personal Branding), cần người kèm cặp cơ bản.",6,Marketing & Kinh doanh,Xây dựng thương hiệu cá nhân (Personal Branding),Cơ bản
"Đã tự học C++ cơ bản một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình phần mềm,C++ cơ bản,Trung bình
"Ai có thể giúp mình về Redis không, cảm ơn nhiều.",1,Lập trình phần mềm,Redis,Không xác định
"Mình là học sinh mới, muốn được chỉ Linux Shell từ những khái niệm đầu tiên.",1,Lập trình phần mềm,Linux Shell,Cơ bản
"Muốn thực hành thêm làm mứt & đồ ngâm vì đang ở trình độ trung bình, hay bị vướng.",10,Nấu ăn,làm mứt & đồ ngâm,Trung bình
Cần người hướng dẫn Kinh doanh Thương mại điện tử cơ bản cho người chưa có nền tảng.,6,Marketing & Kinh doanh,Kinh doanh Thương mại điện tử,Cơ bản
Cần chuyên gia Swift UI hướng dẫn làm dự án thực tế.,1,Lập trình phần mềm,Swift UI,Nâng cao
"Ai có thể giúp mình về Google Ads không, cảm ơn nhiều.",6,Marketing & Kinh doanh,Google Ads,Không xác định
"Tìm gia sư dạy Big Data / Spark cấp độ vỡ lòng, học chậm cũng được.",2,AI & Data Science,Big Data / Spark,Cơ bản
"Mình biết Tiếng Anh B2 ở mức cơ bản, muốn lên trình độ trung cấp.",3,Ngoại ngữ,Tiếng Anh B2,Trung bình
"Mình là học sinh mới, muốn được chỉ Khai phá dữ liệu (Data Mining) từ những khái niệm đầu tiên.",2,AI & Data Science,Khai phá dữ liệu (Data Mining),Cơ bản
"Mình mới tìm hiểu Khai phá dữ liệu (Data Mining), cần người kèm cặp cơ bản.",2,AI & Data Science,Khai phá dữ liệu (Data Mining),Cơ bản
Có thợ nào sửa điện thoại rảnh trong tuần này không ạ.,9,Sửa chữa,sửa điện thoại,Không xác định
Cần buổi thực hành Chiến lược thương hiệu nâng cao hơn một chút so với người mới.,6,Marketing & Kinh doanh,Chiến lược thương hiệu,Trung bình
"Mình đã biết chút ít về Thiết kế nhân vật (Character Design), muốn học thêm để vững hơn.",1,Lập trình phần mềm,Thiết kế nhân vật (Character Design),Trung bình
"Tìm người có kinh nghiệm về Xây kênh YouTube để trao đổi, học hỏi.",6,Marketing & Kinh doanh,Xây kênh YouTube,Không xác định
"Mình là học sinh mới, muốn được chỉ Vẽ Mascot thương hiệu từ những khái niệm đầu tiên.",4,Thiết kế đồ họa,Vẽ Mascot thương hiệu,Cơ bản
"Muốn trao đổi, thực hành Tiếng Nhật N5 cùng người có kinh nghiệm hơn một chút.",3,Ngoại ngữ,Tiếng Nhật N5,Trung bình
Cần chuyên gia Hoạt hình 2D (Animation) hướng dẫn làm dự án thực tế.,8,Nghệ thuật,Hoạt hình 2D (Animation),Nâng cao
Cần tìm người hỗ trợ về Big Data / Spark.,2,AI & Data Science,Big Data / Spark,Không xác định
"Mình muốn học các kỹ thuật nâng cao trong Tableau, không cần dạy lại cơ bản.",2,AI & Data Science,Tableau,Nâng cao
Cần tìm người hỗ trợ về Gọi vốn khởi nghiệp (Pitching).,6,Marketing & Kinh doanh,Gọi vốn khởi nghiệp (Pitching),Không xác định
Bạn nào rành UI cho ứng dụng di động chỉ giúp mình vài buổi nhập môn với.,5,UI/UX,UI cho ứng dụng di động,Cơ bản
Muốn nâng cao kỹ năng Java lên mức chuyên nghiệp.,1,Lập trình phần mềm,Java,Nâng cao
Cần tìm người hỗ trợ về Typography.,4,Thiết kế đồ họa,Typography,Không xác định
"Đang loay hoay không biết bắt đầu bóng đá cho trẻ em từ đâu, mong được hỗ trợ.",11,Thể thao,bóng đá cho trẻ em,Cơ bản
"Tìm người có kinh nghiệm về Vật Lý phổ thông để trao đổi, học hỏi.",12,Gia sư & Học tập,Vật Lý phổ thông,Không xác định
Đang cần người có kinh nghiệm lâu năm về Luyện thi vào lớp 10 để review công việc thực tế.,12,Gia sư & Học tập,Luyện thi vào lớp 10,Nâng cao
Tìm người luyện tập cùng để cải thiện trang trí bánh kem ở mức khá.,10,Nấu ăn,trang trí bánh kem,Trung bình
"Mình cần trao đổi trực tiếp về User Journey Mapping, ai có kinh nghiệm inbox giúp mình.",5,UI/UX,User Journey Mapping,Không xác định
"Mình mới tìm hiểu Tiếng Ý, cần người kèm cặp cơ bản.",3,Ngoại ngữ,Tiếng Ý,Cơ bản
"Mình là học sinh mới, muốn được chỉ Android (Kotlin) từ những khái niệm đầu tiên.",1,Lập trình phần mềm,Android (Kotlin),Cơ bản
Cần buổi thực hành Kinh doanh Thương mại điện tử nâng cao hơn một chút so với người mới.,6,Marketing & Kinh doanh,Kinh doanh Thương mại điện tử,Trung bình
"Muốn trao đổi, thực hành Feature Engineering cùng người có kinh nghiệm hơn một chút.",2,AI & Data Science,Feature Engineering,Trung bình
Muốn nâng cao kỹ năng Sketch App lên mức chuyên nghiệp.,5,UI/UX,Sketch App,Nâng cao
Cần buổi thực hành Thiết kế Kỷ yếu nâng cao hơn một chút so với người mới.,4,Thiết kế đồ họa,Thiết kế Kỷ yếu,Trung bình
Cần người hướng dẫn Excel nâng cao (VBA) cơ bản cho người chưa có nền tảng.,2,AI & Data Science,Excel nâng cao (VBA),Cơ bản
"Đã tự học MongoDB một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình phần mềm,MongoDB,Trung bình
Muốn được đào tạo chuyên sâu Trống Drum Kit để làm freelance/đi làm chính thức.,7,Âm nhạc,Trống Drum Kit,Nâng cao
"Mình mới tìm hiểu Vẽ tranh tường (Mural), cần người kèm cặp cơ bản.",8,Nghệ thuật,Vẽ tranh tường (Mural),Cơ bản
"Cần báo giá sửa máy nước nóng, chưa rõ hư nặng hay nhẹ.",9,Sửa chữa,sửa máy nước nóng,Không xác định
"Muốn trao đổi, thực hành Hoạt hình 2D (Animation) cùng người có kinh nghiệm hơn một chút.",8,Nghệ thuật,Hoạt hình 2D (Animation),Trung bình
Cần một buổi học Ukulele dành cho người mới bắt đầu.,7,Âm nhạc,Ukulele,Cơ bản
"Tìm người hỗ trợ REST API theo buổi, không cần cam kết dài hạn.",1,Lập trình phần mềm,REST API,Không xác định
"Mình chưa biết gì về Hòa âm phối khí, ai có thể hướng dẫn từng bước không?",7,Âm nhạc,Hòa âm phối khí,Cơ bản
"Tìm gia sư dạy Python cơ bản cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình phần mềm,Python cơ bản,Cơ bản
Tìm người luyện tập cùng để cải thiện Điêu khắc đất sét ở mức khá.,8,Nghệ thuật,Điêu khắc đất sét,Trung bình
"Tìm người dạy Hóa Học phổ thông cho người tay ngang, chưa từng học qua.",12,Gia sư & Học tập,Hóa Học phổ thông,Cơ bản
Cần tìm người hỗ trợ về Tiếng Pháp.,3,Ngoại ngữ,Tiếng Pháp,Không xác định
Muốn được đào tạo chuyên sâu React Native để làm freelance/đi làm chính thức.,1,Lập trình phần mềm,React Native,Nâng cao
"Có ai rảnh dạy Sáo trúc không, mình cần gấp trong tuần này.",7,Âm nhạc,Sáo trúc,Không xác định
Cần buổi thực hành Sáo trúc nâng cao hơn một chút so với người mới.,7,Âm nhạc,Sáo trúc,Trung bình
Tìm người luyện tập cùng để cải thiện Thanh nhạc cho trẻ em ở mức khá.,7,Âm nhạc,Thanh nhạc cho trẻ em,Trung bình
Muốn được đào tạo chuyên sâu Linux Shell để làm freelance/đi làm chính thức.,1,Lập trình phần mềm,Linux Shell,Nâng cao
Tìm người có thể thử thách và nâng trình Mix & Master nhạc của mình lên tầm cao mới.,3,Ngoại ngữ,Mix & Master nhạc,Nâng cao
Cần một buổi học Micro-interaction Design dành cho người mới bắt đầu.,5,UI/UX,Micro-interaction Design,Cơ bản
"Có ai rảnh dạy Thiết kế Card visit không, mình cần gấp trong tuần này.",4,Thiết kế đồ họa,Thiết kế Card visit,Không xác định
Muốn nâng cao kỹ năng Đàm phán & thương lượng lên mức chuyên nghiệp.,2,AI & Data Science,Đàm phán & thương lượng,Nâng cao
"Mình học Thiết kế Infographic được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",4,Thiết kế đồ họa,Thiết kế Infographic,Trung bình
"Mình là học sinh mới, muốn được chỉ trượt ván (Skateboarding) từ những khái niệm đầu tiên.",11,Thể thao,trượt ván (Skateboarding),Cơ bản
"Mình muốn học các kỹ thuật nâng cao trong Thiết kế nhân vật (Character Design), không cần dạy lại cơ bản.",4,Thiết kế đồ họa,Thiết kế nhân vật (Character Design),Nâng cao
Mình cần lắp đặt thiết bị điện thông minh nhưng chưa xác định được lỗi chính xác.,9,Sửa chữa,lắp đặt thiết bị điện thông minh,Không xác định
Cần tìm người hỗ trợ về Đàm phán & thương lượng.,6,Marketing & Kinh doanh,Đàm phán & thương lượng,Không xác định
Muốn tìm người dạy Facebook Ads 1 kèm 1 online hoặc offline đều được.,6,Marketing & Kinh doanh,Facebook Ads,Không xác định
Muốn tìm người dạy Deep Learning 1 kèm 1 online hoặc offline đều được.,2,AI & Data Science,Deep Learning,Không xác định
"Mình muốn học các kỹ thuật nâng cao trong bơi lội, không cần dạy lại cơ bản.",11,Thể thao,bơi lội,Nâng cao
Tìm mentor A/B Testing trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,2,AI & Data Science,A/B Testing,Nâng cao
"Đã tự học TikTok Marketing một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",6,Marketing & Kinh doanh,TikTok Marketing,Trung bình
"Muốn học thử Tiếng Anh A2 một buổi xem có hợp không, trình độ mới toanh.",3,Ngoại ngữ,Tiếng Anh A2,Cơ bản
"Đang loay hoay không biết bắt đầu Xây kênh TikTok từ đâu, mong được hỗ trợ.",6,Marketing & Kinh doanh,Xây kênh TikTok,Cơ bản
"Mình mất gốc hoàn toàn, muốn tìm người kèm Tiếng Trung HSK2 từ con số 0.",3,Ngoại ngữ,Tiếng Trung HSK2,Cơ bản
"Muốn học thử Nhiếp ảnh cơ bản một buổi xem có hợp không, trình độ mới toanh.",2,AI & Data Science,Nhiếp ảnh cơ bản,Cơ bản
Cần một buổi học Prompt Engineering dành cho người mới bắt đầu.,2,AI & Data Science,Prompt Engineering,Cơ bản
Muốn nâng cao kỹ năng nấu ăn giảm cân/eat clean lên mức chuyên nghiệp.,10,Nấu ăn,nấu ăn giảm cân/eat clean,Nâng cao
Tìm người luyện tập cùng để cải thiện Micro-interaction Design ở mức khá.,5,UI/UX,Micro-interaction Design,Trung bình
Muốn tìm đơn vị sửa khóa cửa có đánh giá tốt từ khách hàng trước.,9,Sửa chữa,sửa khóa cửa,Không xác định
"Mình mất gốc hoàn toàn, muốn tìm người kèm Ruby on Rails từ con số 0.",1,Lập trình phần mềm,Ruby on Rails,Cơ bản
Cần người hướng dẫn Luyện thi vào lớp 10 cơ bản cho người chưa có nền tảng.,12,Gia sư & Học tập,Luyện thi vào lớp 10,Cơ bản
"Tìm thợ sửa máy nước nóng chuyên nghiệp, có bảo hành sau khi sửa.",9,Sửa chữa,sửa máy nước nóng,Không xác định
Cần người review lại các lỗi cơ bản khi làm Vue.js.,1,Lập trình phần mềm,Vue.js,Trung bình
"Tìm người hỗ trợ Golang theo buổi, không cần cam kết dài hạn.",1,Lập trình phần mềm,Golang,Không xác định
Cần tìm người hỗ trợ về đạp xe.,11,Thể thao,đạp xe,Không xác định
Cần một buổi học Prototyping dành cho người mới bắt đầu.,5,UI/UX,Prototyping,Cơ bản
Cần lộ trình học Laravel cơ bản trong 1-2 tháng.,1,Lập trình phần mềm,Laravel,Cơ bản
Cần chuyên gia AWS hướng dẫn làm dự án thực tế.,1,Lập trình phần mềm,AWS,Nâng cao
Cần lộ trình học Computer Vision cơ bản trong 1-2 tháng.,2,AI & Data Science,Computer Vision,Cơ bản
"Mình cần trao đổi trực tiếp về LLM & Chatbot AI, ai có kinh nghiệm inbox giúp mình.",2,AI & Data Science,LLM & Chatbot AI,Không xác định
Cần người hướng dẫn nấu món chay cơ bản cho người chưa có nền tảng.,10,Nấu ăn,nấu món chay,Cơ bản
Cần lộ trình học Tiếng Anh B1 cơ bản trong 1-2 tháng.,3,Ngoại ngữ,Tiếng Anh B1,Cơ bản
Tìm người có thể thử thách và nâng trình Facebook Ads của mình lên tầm cao mới.,6,Marketing & Kinh doanh,Facebook Ads,Nâng cao
"Ai có thể giúp mình về Tennis không, cảm ơn nhiều.",11,Thể thao,Tennis,Không xác định
"Mình mất gốc hoàn toàn, muốn tìm người kèm Mix & Master nhạc từ con số 0.",7,Âm nhạc,Mix & Master nhạc,Cơ bản
Cần người giỏi Pandas & NumPy hỗ trợ giải quyết vấn đề khó trong công việc.,2,AI & Data Science,Pandas & NumPy,Nâng cao
Cần chuyên gia Photoshop hướng dẫn làm dự án thực tế.,4,Thiết kế đồ họa,Photoshop,Nâng cao
Cần đặt lịch học TikTok Marketing vào cuối tuần.,6,Marketing & Kinh doanh,TikTok Marketing,Không xác định
Tìm mentor Quản trị nhân sự cơ bản trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,6,Marketing & Kinh doanh,Quản trị nhân sự cơ bản,Nâng cao
Tìm mentor Gym & thể hình trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,11,Thể thao,Gym & thể hình,Nâng cao
Tìm người luyện tập cùng để cải thiện iOS (Swift) ở mức khá.,1,Lập trình phần mềm,iOS (Swift),Trung bình
Cần thợ sửa đồ gỗ nội thất tới xem tình trạng hư hỏng giúp mình.,9,Sửa chữa,sửa đồ gỗ nội thất,Không xác định
"Tìm người hỗ trợ Piano đệm hát theo buổi, không cần cam kết dài hạn.",7,Âm nhạc,Piano đệm hát,Không xác định
Muốn tìm người dạy Accessibility trong thiết kế (A11y) 1 kèm 1 online hoặc offline đều được.,5,UI/UX,Accessibility trong thiết kế (A11y),Không xác định
"Tìm người hỗ trợ WordPress theo buổi, không cần cam kết dài hạn.",1,Lập trình phần mềm,WordPress,Không xác định
"Tìm người sửa bếp gas/bếp từ uy tín, giá cả hợp lý.",9,Sửa chữa,sửa bếp gas/bếp từ,Không xác định
Cần một buổi học Vẽ Mascot thương hiệu dành cho người mới bắt đầu.,4,Thiết kế đồ họa,Vẽ Mascot thương hiệu,Cơ bản
"Thiết bị nhà mình liên quan tới chống thấm nhà đang có dấu hiệu bất thường, cần thợ kiểm tra.",9,Sửa chữa,chống thấm nhà,Không xác định
Cần buổi thực hành Spring Boot nâng cao hơn một chút so với người mới.,1,Lập trình phần mềm,Spring Boot,Trung bình
"Đã tự học Thiết kế Menu quán ăn một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",4,Thiết kế đồ họa,Thiết kế Menu quán ăn,Trung bình
Đang cần người có kinh nghiệm lâu năm về Thanh nhạc (hát) để review công việc thực tế.,7,Âm nhạc,Thanh nhạc (hát),Nâng cao
Cần tìm người hỗ trợ về Chỉnh sửa video (Premiere).,8,Nghệ thuật,Chỉnh sửa video (Premiere),Không xác định
Bạn nào rành Tiếng Anh giao tiếp A1 chỉ giúp mình vài buổi nhập môn với.,3,Ngoại ngữ,Tiếng Anh giao tiếp A1,Cơ bản
Cần sửa tủ lạnh gấp vì ảnh hưởng sinh hoạt gia đình.,9,Sửa chữa,sửa tủ lạnh,Khẩn cấp
"Mình muốn học các kỹ thuật nâng cao trong MongoDB, không cần dạy lại cơ bản.",1,Lập trình phần mềm,MongoDB,Nâng cao
"Muốn thực hành thêm Tiếng Nhật N1 vì đang ở trình độ trung bình, hay bị vướng.",3,Ngoại ngữ,Tiếng Nhật N1,Trung bình
"Tìm người hỗ trợ Thiết kế Dashboard theo buổi, không cần cam kết dài hạn.",5,UI/UX,Thiết kế Dashboard,Không xác định
"Mình đã có nền tảng Shopify Dev khá tốt, muốn học chuyên sâu hơn.",1,Lập trình phần mềm,Shopify Dev,Nâng cao
"Tìm thợ lắp đặt camera an ninh có thể qua liền, xin cảm ơn.",9,Sửa chữa,lắp đặt camera an ninh,Khẩn cấp
"Mình biết Thiết kế nội thất 3D (SketchUp) ở mức cơ bản, muốn lên trình độ trung cấp.",4,Thiết kế đồ họa,Thiết kế nội thất 3D (SketchUp),Trung bình
Cần người ôn lại và củng cố kiến thức Gọi vốn khởi nghiệp (Pitching) ở mức trung bình.,6,Marketing & Kinh doanh,Gọi vốn khởi nghiệp (Pitching),Trung bình
"Tìm người có kinh nghiệm về Bảo mật ứng dụng web để trao đổi, học hỏi.",1,Lập trình phần mềm,Bảo mật ứng dụng web,Không xác định
"Mình là học sinh mới, muốn được chỉ Nhiếp ảnh chân dung từ những khái niệm đầu tiên.",8,Nghệ thuật,Nhiếp ảnh chân dung,Cơ bản
"Mình mất gốc hoàn toàn, muốn tìm người kèm Sketch App từ con số 0.",5,UI/UX,Sketch App,Cơ bản
Cần tìm người hỗ trợ về Tiếng Trung HSK5.,3,Ngoại ngữ,Tiếng Trung HSK5,Không xác định
Mình cần một người hướng dẫn Data Science theo lịch linh hoạt.,2,AI & Data Science,Data Science,Không xác định
"Mình chưa biết gì về Hoạt hình 2D (Animation), ai có thể hướng dẫn từng bước không?",8,Nghệ thuật,Hoạt hình 2D (Animation),Cơ bản
Cần lộ trình học Big Data / Spark cơ bản trong 1-2 tháng.,2,AI & Data Science,Big Data / Spark,Cơ bản
"Muốn học thử Guitar Solo một buổi xem có hợp không, trình độ mới toanh.",7,Âm nhạc,Guitar Solo,Cơ bản
"Muốn trao đổi, thực hành Tiếng Trung HSK3 cùng người có kinh nghiệm hơn một chút.",3,Ngoại ngữ,Tiếng Trung HSK3,Trung bình
"Mình học Laravel được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",1,Lập trình phần mềm,Laravel,Trung bình
Cần tư vấn chuyên sâu về Procreate (iPad) cho một dự án cụ thể đang làm.,4,Thiết kế đồ họa,Procreate (iPad),Nâng cao
Cần buổi thực hành Piano nâng cao hơn một chút so với người mới.,7,Âm nhạc,Piano,Trung bình
Cần người hướng dẫn Luyện chữ đẹp cơ bản cho người chưa có nền tảng.,12,Gia sư & Học tập,Luyện chữ đẹp,Cơ bản
"Tìm người hỗ trợ Nhiếp ảnh chân dung theo buổi, không cần cam kết dài hạn.",8,Nghệ thuật,Nhiếp ảnh chân dung,Không xác định
Cần người review lại các lỗi cơ bản khi làm Canva chuyên nghiệp.,4,Thiết kế đồ họa,Canva chuyên nghiệp,Trung bình
"Muốn trao đổi, thực hành Data Engineering cùng người có kinh nghiệm hơn một chút.",2,AI & Data Science,Data Engineering,Trung bình
"Muốn trao đổi, thực hành Data Cleaning cùng người có kinh nghiệm hơn một chút.",2,AI & Data Science,Data Cleaning,Trung bình
"Muốn trao đổi, thực hành Xây kênh TikTok cùng người có kinh nghiệm hơn một chút.",9,Sửa chữa,Xây kênh TikTok,Trung bình
Cần đặt lịch học ExpressJS vào cuối tuần.,1,Lập trình phần mềm,ExpressJS,Không xác định
"Ai có thể giúp mình về Tiếng Hàn TOPIK không, cảm ơn nhiều.",3,Ngoại ngữ,Tiếng Hàn TOPIK,Không xác định
"Mình muốn học các kỹ thuật nâng cao trong Sản xuất nhạc (Music Production), không cần dạy lại cơ bản.",7,Âm nhạc,Sản xuất nhạc (Music Production),Nâng cao
Cần tư vấn chuyên sâu về Nhiếp ảnh chân dung cho một dự án cụ thể đang làm.,8,Nghệ thuật,Nhiếp ảnh chân dung,Nâng cao
"Đã tự học AWS một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",1,Lập trình phần mềm,AWS,Trung bình
"Đang tìm mentor Quản lý fanpage, thời gian học có thể thương lượng.",6,Marketing & Kinh doanh,Quản lý fanpage,Không xác định
"Mình là học sinh mới, muốn được chỉ bơi lội từ những khái niệm đầu tiên.",11,Thể thao,bơi lội,Cơ bản
Cần người hướng dẫn Thiết kế Landing Page cơ bản cho người chưa có nền tảng.,5,UI/UX,Thiết kế Landing Page,Cơ bản
Cần buổi thực hành Java nâng cao hơn một chút so với người mới.,10,Nấu ăn,Java,Trung bình
"Tìm người hỗ trợ UI cho ứng dụng di động theo buổi, không cần cam kết dài hạn.",5,UI/UX,UI cho ứng dụng di động,Không xác định
"Mình đã biết chút ít về Rust, muốn học thêm để vững hơn.",1,Lập trình phần mềm,Rust,Trung bình
Bạn nào rành Tiếng Nhật N5 chỉ giúp mình vài buổi nhập môn với.,9,Sửa chữa,Tiếng Nhật N5,Cơ bản
"Mình đã có nền tảng Sáng tác nhạc (Songwriting) khá tốt, muốn học chuyên sâu hơn.",7,Âm nhạc,Sáng tác nhạc (Songwriting),Nâng cao
Cần lộ trình học Sản xuất nhạc (Music Production) cơ bản trong 1-2 tháng.,7,Âm nhạc,Sản xuất nhạc (Music Production),Cơ bản
"Tìm gia sư dạy Livestream bán hàng cấp độ vỡ lòng, học chậm cũng được.",6,Marketing & Kinh doanh,Livestream bán hàng,Cơ bản
"Mình đã có nền tảng Khai phá dữ liệu (Data Mining) khá tốt, muốn học chuyên sâu hơn.",2,AI & Data Science,Khai phá dữ liệu (Data Mining),Nâng cao
"Mình đã biết chút ít về Làm đồ handmade trang trí, muốn học thêm để vững hơn.",8,Nghệ thuật,Làm đồ handmade trang trí,Trung bình
"Muốn thực hành thêm Thiết kế Logo vì đang ở trình độ trung bình, hay bị vướng.",4,Thiết kế đồ họa,Thiết kế Logo,Trung bình
"Đã tự học Vẽ Mascot thương hiệu một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",4,Thiết kế đồ họa,Vẽ Mascot thương hiệu,Trung bình
"Muốn thực hành thêm React Native vì đang ở trình độ trung bình, hay bị vướng.",1,Lập trình phần mềm,React Native,Trung bình
"Mình mất gốc hoàn toàn, muốn tìm người kèm Tiếng Việt Tiểu học từ con số 0.",12,Gia sư & Học tập,Tiếng Việt Tiểu học,Cơ bản
"Ai có thể giúp mình về làm mứt & đồ ngâm không, cảm ơn nhiều.",12,Gia sư & Học tập,làm mứt & đồ ngâm,Không xác định
"Mình biết Reinforcement Learning ở mức cơ bản, muốn lên trình độ trung cấp.",6,Marketing & Kinh doanh,Reinforcement Learning,Trung bình
"Tìm người hỗ trợ C++ nâng cao theo buổi, không cần cam kết dài hạn.",1,Lập trình phần mềm,C++ nâng cao,Không xác định
"Mình cần trao đổi trực tiếp về Nghiên cứu người dùng (UX Research), ai có kinh nghiệm inbox giúp mình.",5,UI/UX,Nghiên cứu người dùng (UX Research),Không xác định
"Muốn thực hành thêm Trực quan hóa dữ liệu vì đang ở trình độ trung bình, hay bị vướng.",2,AI & Data Science,Trực quan hóa dữ liệu,Trung bình
"Mình mất gốc hoàn toàn, muốn tìm người kèm Tiếng Anh B2 từ con số 0.",3,Ngoại ngữ,Tiếng Anh B2,Cơ bản
"Tìm người có kinh nghiệm về Địa Lý để trao đổi, học hỏi.",12,Gia sư & Học tập,Địa Lý,Không xác định
"Tìm gia sư dạy Boxing/Kickboxing cấp độ vỡ lòng, học chậm cũng được.",11,Thể thao,Boxing/Kickboxing,Cơ bản
"Mình học Tiếng Nhật N1 được một thời gian nhưng còn nhiều chỗ chưa chắc, cần người kèm lại.",3,Ngoại ngữ,Tiếng Nhật N1,Trung bình
Cần tư vấn chuyên sâu về Nặn tượng nhỏ (Miniature) cho một dự án cụ thể đang làm.,8,Nghệ thuật,Nặn tượng nhỏ (Miniature),Nâng cao
Cần tìm người hỗ trợ về Toán luyện thi Đại học.,12,Gia sư & Học tập,Toán luyện thi Đại học,Không xác định
"Cần thợ sửa máy in tới ngay trong hôm nay, việc khá gấp.",9,Sửa chữa,sửa máy in,Khẩn cấp
Tìm người luyện tập cùng để cải thiện Reinforcement Learning ở mức khá.,2,AI & Data Science,Reinforcement Learning,Trung bình
"Có ai rảnh dạy Laravel không, mình cần gấp trong tuần này.",1,Lập trình phần mềm,Laravel,Không xác định
"Mình đã biết chút ít về Ngữ Văn phổ thông, muốn học thêm để vững hơn.",12,Gia sư & Học tập,Ngữ Văn phổ thông,Trung bình
"Mình đã có nền tảng Time Series Forecasting khá tốt, muốn học chuyên sâu hơn.",2,AI & Data Science,Time Series Forecasting,Nâng cao
"Tìm người hỗ trợ Thiết kế nội thất 3D (SketchUp) theo buổi, không cần cam kết dài hạn.",4,Thiết kế đồ họa,Thiết kế nội thất 3D (SketchUp),Không xác định
Mình cần một người hướng dẫn Livestream bán hàng theo lịch linh hoạt.,6,Marketing & Kinh doanh,Livestream bán hàng,Không xác định
"Mình muốn học các kỹ thuật nâng cao trong Bass Guitar, không cần dạy lại cơ bản.",7,Âm nhạc,Bass Guitar,Nâng cao
Tìm người có thể thử thách và nâng trình Thiết kế ấn phẩm in của mình lên tầm cao mới.,4,Thiết kế đồ họa,Thiết kế ấn phẩm in,Nâng cao
"Đã tự học Guitar Fingerstyle một thời gian, giờ muốn có người chỉnh sửa và nâng cấp.",7,Âm nhạc,Guitar Fingerstyle,Trung bình
Cần tìm người hỗ trợ về làm bánh Âu (Baking).,10,Nấu ăn,làm bánh Âu (Baking),Không xác định
Đang cần người có kinh nghiệm lâu năm về Chỉnh sửa video (Premiere) để review công việc thực tế.,8,Nghệ thuật,Chỉnh sửa video (Premiere),Nâng cao
